hours,Predicted,Observation
2020-12-31 06:00:00,1.5966645000000002,1.5966645000000002
2020-12-31 09:00:00,1.7187093,1.7187093
2020-12-31 12:00:00,1.8194648000000002,1.8194648000000002
2020-12-31 15:00:00,1.8989288,1.8989288
2020-12-31 18:00:00,1.9162569999999999,1.9162569999999999
2020-12-31 21:00:00,1.9709995999999999,1.9709995999999999
2021-01-01 00:00:00,1.9909573,1.9909573
2021-01-01 03:00:00,1.9922384999999998,
2021-01-01 06:00:00,1.9804595,
2021-01-01 09:00:00,1.9621718000000001,
2021-01-01 12:00:00,1.9341755,
2021-01-01 15:00:00,1.8879181,
2021-01-01 18:00:00,1.8294765,
2021-01-01 21:00:00,1.7656791,
2021-01-02 00:00:00,1.6943473999999998,
2021-01-02 03:00:00,1.6152123,
2021-01-02 06:00:00,1.5293961999999999,
2021-01-02 09:00:00,1.4419671,
2021-01-02 12:00:00,1.3519242,
2021-01-02 15:00:00,1.2587638,
2021-01-02 18:00:00,1.1640531,
2021-01-02 21:00:00,1.0698963,
2021-01-03 00:00:00,0.97709525,
2021-01-03 03:00:00,0.8857027,
2021-01-03 06:00:00,0.79676074,
2021-01-03 09:00:00,0.71162957,
2021-01-03 12:00:00,0.6307764,
2021-01-03 15:00:00,0.55436474,
2021-01-03 18:00:00,0.48284775,
2021-01-03 21:00:00,0.41692609999999997,
